,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Polaribacter sp. BM10,34,0,0,0,0,23,41,53,26,21,26,23,21,37,0,0,40,102,66,46,38
Mycetocola zhujimingii,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,14,0
Streptomyces sp. CA-210063,0,0,0,0,0,0,0,39,0,0,0,0,24,30,0,21,56,62,33,31,23
Prevotella veroralis,519,665,915,621,688,68,60,54,61,56,46,1549,41,12,11,60,59,126,108,138,23
Pseudomonas sp. URMO17WK12:I11,19,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,31,0,36,0,28
Paenibacillus stellifer,47,30,40,25,31,31,61,90,39,41,71,32,79,62,95,41,41,43,58,41,73
Methylococcus sp. EFPC2,0,0,14,10,0,0,0,13,0,0,0,0,0,0,12,0,12,11,0,0,0
Lancefieldella sp. Marseille-Q7238,17,0,26,13,22,0,17,42,16,13,17,18,30,29,41,26,31,33,19,26,31
Methylobacterium sp. FF17,0,0,14,0,0,0,13,29,0,0,20,0,40,19,52,13,15,15,13,0,16
Halorhodospira halophila,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,11,0,12,23
Halorubrum salinarum,0,0,0,0,0,0,0,45,0,0,30,0,33,0,20,32,40,0,0,0,0
Microbacterium sp. LKL04,19,0,0,0,0,0,0,19,0,0,0,0,0,0,14,0,0,0,15,0,32
Trueperella bernardiae,0,0,0,0,0,0,19,0,0,0,0,0,18,0,0,0,0,28,0,0,19
endosymbiont of Pachyrhynchus infernalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Campylobacter fetus,54,0,10,0,0,13,18,22,0,0,10,21,25,18,32,0,22,78,31,24,27
Komagataeibacter medellinensis,0,0,0,0,0,0,0,18,0,0,16,0,18,26,15,0,15,0,18,0,16
Shewanella sp. Arc9-LZ,0,0,0,0,0,0,0,0,0,0,0,0,26,20,48,29,0,0,0,0,0
Vibrio maritimus,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,50,25,26,21,33,0
Massilia sp. YMA4,22,64,46,0,38,0,0,25,0,0,0,0,27,0,19,18,24,22,32,31,0
Thermodesulfobacterium sp. TA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,13,19
Marinobacter salsuginis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Bombilactobacillus bombi,16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,25,14,15,14,21,0
Echinicola soli,63,13,17,28,12,15,19,15,0,0,11,21,28,17,20,0,15,0,26,10,41
Plateaulakevirus pv4L372XY,0,0,29,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Mycolicibacterium sp. YH-1,12,0,17,0,23,0,0,20,0,0,0,0,22,15,23,0,0,15,14,12,12
Bacteroides humanifaecis,14116,5009,6084,5921,5369,1293,968,1486,798,705,757,6318,715,404,414,2424,2893,2453,6907,4917,6988
Vagococcus fluvialis,52,33,56,13,21,0,16,24,13,21,23,107,20,18,18,35,40,57,31,31,28
Pseudobacter ginsenosidimutans,79,58,32,34,58,10,16,22,10,16,0,49,0,0,16,12,37,37,56,42,17
Candidatus Formimonas warabiya,62,21,42,33,20,31,67,62,24,19,28,87,35,33,46,53,38,62,65,34,72
Bifidobacterium catenulatum,5653,229,266,202,163,75,113,118,55,33,78,10142,100,89,144,150,114,186,137,85,554
Flavobacterium sp. F-340,26,28,0,23,31,0,0,13,0,0,0,24,0,0,11,0,25,28,25,17,14
Thiomicrospira sp. R3,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Amycolatopsis sp. CA-230715,0,0,0,0,0,0,14,30,17,13,18,0,41,30,30,19,20,25,30,18,20
Leucobacter muris,0,0,0,0,0,0,0,20,0,0,0,78,37,20,39,13,0,0,0,0,15
Vibrio cincinnatiensis,17,0,0,0,0,0,0,14,0,14,18,0,18,24,45,0,0,17,18,14,0
Bradyrhizobium sp. ORS 278,51,0,0,0,0,0,18,23,17,0,30,31,14,17,0,0,15,0,20,17,42
Corynebacterium urogenitale,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides sp. HM61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,14,0,0,0
Fundicoccus culcitae,22,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,20,21,19,12,21
Methylocystis rosea,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,18,0,0,0
Dickeya zeae,76,0,33,0,30,0,0,32,0,0,23,21,29,26,0,19,30,57,29,25,53
Leptotrichia sp. oral taxon 212,52,17,28,12,0,25,42,50,21,33,43,42,47,47,57,39,31,103,65,29,42
Mycobacterium colombiense,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,13,0,0,0,13
Leptotrichia hofstadii,29,0,0,0,0,13,20,17,0,20,40,30,0,23,0,25,0,25,21,20,0
Cuniculiplasma divulgatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Rickettsia asembonensis,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,28,0,0
Lysobacter oculi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Metabacillus sp. B2-18,31,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,33,30,32,36
Sneathia vaginalis,25,0,0,0,0,0,10,0,0,0,0,27,20,11,24,10,30,62,39,29,15
Enterobacter cancerogenus,20,0,10,0,14,0,0,13,0,0,0,11,0,0,0,13,12,18,17,16,0
Vibrio gallicus,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,23,0,40
Gordonia phthalatica,0,0,0,0,0,0,26,30,0,0,0,0,0,0,0,0,0,23,0,0,24
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,49,30,28,33,0
Phocaeicola vulgatus,665881,430097,684337,752940,416744,275080,130275,249000,92077,60626,101644,429332,74932,55259,54929,217830,294591,333358,264059,459947,35490
Zobellia laminariae,44,0,16,10,0,0,11,0,0,0,16,36,15,0,0,23,12,14,13,12,10
Alysiella crassa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,16,16,0
uncultured Enterococcus sp.,67,26,38,18,36,22,38,59,23,20,40,73,51,44,68,37,28,56,56,22,59
Mesorhizobium sp. 131-2-1,0,0,0,0,0,0,0,37,0,0,0,0,28,0,42,0,0,0,0,42,0
uncultured Roseateles sp.,0,0,0,12,0,0,11,14,0,0,0,0,10,0,15,0,0,14,16,13,19
Tellurirhabdus bombi,73,0,19,0,0,0,0,0,0,0,0,30,0,0,0,12,18,19,13,23,0
Limnospira fusiformis,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium flavigenum,46,0,28,0,0,0,19,19,0,0,0,66,24,29,50,24,22,26,31,19,31
Bradyrhizobium sediminis,0,0,0,0,0,0,0,29,12,18,0,0,19,29,30,20,32,37,33,31,13
Methanosarcina siciliae,35,0,0,0,0,0,0,29,0,18,0,25,0,0,16,18,39,25,32,17,0
Shewanella algae,51,26,49,13,22,0,38,42,19,28,23,50,24,34,20,41,37,72,44,37,67
Campylobacter iguaniorum,46,0,23,0,0,0,18,15,15,0,0,50,0,13,0,0,15,51,25,14,20
Marivirga harenae,31,0,0,0,0,0,17,0,11,0,0,26,0,0,0,0,19,39,17,23,37
Histophilus somni,52,0,20,0,0,0,0,12,0,0,0,40,0,0,0,13,21,36,44,21,0
Sphingobium sp. KCTC 72723,0,0,0,0,0,18,12,18,0,0,0,10,0,0,0,0,14,12,11,17,0
Herminiimonas arsenitoxidans,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,15,12,23,11,0,0
Pseudolysobacter antarcticus,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natronomonas salina,0,0,0,0,0,0,0,32,0,0,0,0,17,28,23,15,15,0,13,17,11
Corynebacterium anserum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Sideroxydans sp. CL21,11,0,10,0,0,0,13,0,0,0,0,0,0,0,10,12,0,10,12,0,14
Jeotgalicoccus saudimassiliensis,30,11,0,0,0,0,25,32,0,21,35,19,42,23,39,10,18,18,19,0,17
Ephemeroptericola cinctiostellae,0,0,0,0,0,0,0,15,0,0,0,0,16,16,26,0,0,0,11,0,0
Latilactobacillus curvatus,46,20,35,0,18,17,47,50,0,23,38,45,16,27,36,44,24,86,34,24,36
Sulfurospirillum sp. 'SP',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Sphingomonas changnyeongensis,0,0,0,13,0,0,15,13,16,0,0,0,15,19,20,0,0,15,0,0,23
Psychrosphaera ytuae,13,0,13,0,0,0,11,0,0,0,0,0,11,0,0,0,11,33,13,12,25
Rickettsia typhi,0,0,0,0,0,0,21,17,0,16,0,0,0,0,0,12,32,30,42,23,0
Mycoplasma wenyonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0
Citrobacter arsenatis,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,13
Allorhizobium pseudoryzae,21,0,0,15,0,0,0,19,0,0,0,0,0,0,0,12,0,19,0,17,16
Pectobacterium polaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
Clostridium sp. C1,2710,277,437,711,251,66,161,160,89,78,162,1780,167,172,216,202,151,256,222,150,3511
Oceanobacillus kimchii,16,0,0,0,0,0,23,16,0,0,13,40,19,15,43,0,23,46,39,19,0
Candidatus Pelagibacter ubique,0,0,11,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Afipia sp. GAS231,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,37,34,45,29,22,0
Candidatus Methanoplasma termitum,0,0,18,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,28
Saccharopolyspora erythraea,15,0,0,17,0,0,0,52,16,21,0,0,88,63,84,34,25,34,30,23,22
Nakamurella multipartita,0,0,0,0,0,0,0,20,16,0,12,0,18,11,19,14,18,23,21,11,16
Vibrio aerogenes,51,0,0,0,0,0,0,11,0,0,0,29,0,0,0,0,16,34,24,25,14
Brevibacillus composti,23,0,11,0,0,14,31,37,20,19,0,31,45,37,41,39,31,46,32,33,49
Ewingella americana,33,0,0,0,0,0,0,12,0,0,0,27,0,0,0,0,0,0,12,0,0
Acidiphilium multivorum,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium sp. NG2,77,0,21,0,16,0,0,17,0,0,0,69,0,0,0,0,15,33,21,13,10
Marinobacter alexandrii,24,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
Xylanibacter ruminicola,1810,340,569,443,475,22,51,53,19,20,31,5213,54,50,64,94,73,88,98,80,182
Cloacibacterium sp. TD35,24,0,0,0,0,0,0,15,0,0,0,13,0,0,0,0,0,29,14,11,0
Lelliottia steviae,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas pohangensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,11,13,11,0
Aeoliella mucimassa,26,0,0,12,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Parolsenella catena,13,20,22,15,23,27,65,147,39,53,41,0,87,69,113,129,146,106,134,104,49
Paludicola sp. MB14-C6,200,78,131,51,78,134,266,305,140,97,234,167,462,365,571,174,202,478,337,211,364
Streptomyces ficellus,0,0,0,0,0,0,0,20,0,0,0,0,20,13,0,15,13,0,0,0,16
Streptococcus oriscaviae,11,0,10,0,0,0,11,15,0,0,0,18,12,12,10,33,16,22,19,12,33
Vibrio cyclitrophicus,42,0,0,0,0,0,23,42,0,0,47,11,80,25,93,0,21,35,20,0,29
Mycolicibacterium goodii,24,0,23,0,0,0,0,32,0,0,0,14,0,12,13,0,26,24,25,25,12
Halosolutus gelatinilyticus,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfobulbus propionicus,11,0,17,10,0,0,0,32,11,17,17,0,19,20,28,22,52,37,29,28,26
Myroides sp. ZB35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,22
Malaciobacter mytili,30,0,0,0,0,0,18,20,0,0,15,65,14,20,22,12,21,33,39,29,0
Dolichospermum compactum,0,0,21,0,0,0,0,29,0,0,0,0,0,0,0,0,17,32,18,0,0
Salinispora tropica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Berryella wangjianweii,23,16,27,33,24,12,37,100,20,23,36,11,39,68,60,36,52,56,65,42,60
Azoarcus olearius,31,0,0,0,0,0,0,0,0,0,0,18,0,0,0,16,0,0,18,0,0
Sulfurimicrobium lacus,0,0,0,0,0,0,15,15,0,0,0,0,25,13,37,11,0,15,10,0,14
Fenollaria massiliensis,41,22,0,0,13,29,48,52,15,18,40,19,40,45,52,38,45,70,73,21,40
Paenibacillus cellulositrophicus,0,29,19,0,0,0,32,41,28,0,0,0,36,27,0,26,34,32,30,32,42
Xanthomonas fragariae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,11,0
Christensenella minuta,262,67,94,67,74,211,492,744,214,259,419,263,638,661,806,413,349,427,499,287,855
Bifidobacterium sp. ESL0704,35,0,0,29,0,0,0,32,0,0,0,35,0,0,0,0,0,0,19,0,33
Candidatus Deianiraea vastatrix,0,0,0,0,0,0,10,0,0,0,0,14,0,0,10,0,0,0,21,16,0
Oxalobacter aliiformigenes,36,24,28,16,13,12,20,33,13,13,23,29,47,21,54,13,27,32,27,13,34
Sulfitobacter alexandrii,18,0,0,21,0,0,28,62,47,38,37,0,43,66,77,66,48,28,40,35,39
Actinopolymorpha singaporensis,0,0,0,0,0,0,0,27,11,0,0,0,13,0,14,20,10,15,28,13,11
Sphingomonas sp.,40,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,15,0,18,0,17
Cellulophaga sp. HaHaR_3_176,39,35,25,25,52,22,34,20,0,17,21,64,15,13,14,11,15,34,27,14,19
Treponema primitia,30,14,33,13,18,21,37,65,12,25,34,18,41,40,62,27,41,41,39,27,67
Trichothermofontia sichuanensis,16,0,0,11,0,0,11,14,0,0,0,0,11,0,0,12,11,10,11,0,20
Propionibacterium freudenreichii,35,75,21,16,20,36,39,52,63,0,20,48,57,44,68,51,56,96,51,33,41
Yokenella regensburgei,0,0,0,0,0,0,0,24,0,0,0,10,0,0,0,0,0,0,0,0,0
Streptomyces sp. Alt3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,27
Candidatus Vesicomyosocius sp. SY067_SCS001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,18
Leuconostoc gasicomitatum,0,0,0,0,0,0,0,31,0,0,0,30,0,0,0,31,0,34,22,17,0
Jeotgalicoccus sp. ATCC 8456,61,0,0,0,0,0,0,0,0,0,12,54,0,0,0,11,0,10,0,10,20
Dermatobacter hominis,14,0,0,0,0,0,12,18,15,12,0,21,16,0,22,11,25,37,25,16,28
Vibrio ishigakensis,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1,0,0,0,0,0,0,0,0,0,0,0,0,29,39,30,17,0,0,0,0,0
Leptospira mayottensis,91,0,33,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,10
Melissococcus plutonius,14,17,16,0,0,0,20,26,0,0,23,20,0,12,16,27,29,31,37,18,22
Leptotrichia sp. oral taxon 218,19,0,16,0,0,0,21,23,0,0,0,33,0,0,0,0,18,67,22,25,90
Sporosarcina sp. T2O-4,23,0,0,0,0,0,19,15,0,20,15,15,27,15,28,19,19,20,11,11,13
Agromyces flavus,0,0,0,0,0,0,0,12,0,0,0,0,13,12,16,0,0,18,0,20,14
Streptomyces dengpaensis,19,0,21,0,0,0,17,24,0,0,18,0,20,24,17,16,13,16,0,18,27
Shewanella polaris,0,62,0,42,61,0,0,26,0,0,0,0,0,41,27,37,0,0,0,0,0
Lactobacillus apis,41,0,10,0,11,0,29,24,12,15,17,45,14,16,0,24,23,35,36,19,20
Shewanella frigidimarina,0,0,0,0,0,0,0,16,0,0,0,0,34,21,38,0,20,23,0,16,0
Brevibacillus choshinensis,20,11,17,20,10,0,11,30,12,0,28,15,46,38,41,20,21,26,23,17,23
Paracoccus marcusii,29,0,0,0,0,0,0,29,0,0,0,50,0,0,0,0,32,30,35,0,0
Enterobacter sichuanensis,0,0,0,0,0,0,0,15,0,0,0,0,28,0,43,0,0,12,0,0,0
Acidianus manzaensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0
Myroides sp. A21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,32,0
Bifidobacterium sp. ESL0728,0,0,0,0,0,0,0,33,27,0,14,0,26,0,14,16,0,0,0,0,21
Virgibacillus sp. MSP4-1,10,16,22,11,0,17,13,18,0,0,15,12,15,12,22,21,11,0,21,14,27
Bibersteinia trehalosi,129,0,105,0,0,0,0,108,0,0,0,46,0,0,0,205,0,97,119,78,71
Sphingomonas panacis,12,12,20,14,11,0,19,21,0,22,14,0,12,14,11,18,17,39,25,0,25
Geodermatophilus obscurus,0,0,0,0,0,0,0,12,0,0,0,0,13,0,15,0,0,17,0,14,25
Solwaraspora sp. WMMD937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Rhizobium sp. WL3,15,0,0,0,0,0,30,17,0,0,0,0,0,0,0,11,0,0,0,0,0
Nocardioides sp. Arc9.136,0,0,0,0,0,0,0,20,0,0,0,0,13,14,21,13,14,0,12,17,0
Limosilactobacillus mucosae,46,16,26,16,17,0,26,41,15,11,30,42,27,24,31,20,30,30,37,20,42
Streptomyces violaceusniger,0,0,0,0,0,0,0,0,0,0,0,0,21,0,37,0,0,0,0,0,0
Candidatus Methanoliparum sp. LAM-1,23,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Coprococcus catus,2899,4710,7625,6169,4080,2798,8886,10036,3449,3253,6110,3640,4198,4871,5994,5997,5465,8630,9280,5331,3473
Citrobacter rodentium,0,0,0,0,0,0,14,14,0,13,0,0,0,0,14,0,15,28,22,31,0
Staphylococcus casei,0,0,19,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Allomuricauda aurantiaca,28,0,26,0,21,0,0,0,0,0,0,25,0,0,10,11,15,26,23,25,0
Leptotrichia wadei,27,0,45,32,12,35,54,62,38,0,30,133,23,44,22,131,83,196,111,67,46
Brachybacterium sp. Z12,0,0,0,0,0,0,0,19,0,0,0,0,14,14,25,0,15,15,0,0,19
Mixta calida,13,0,0,0,16,0,0,21,0,0,12,0,0,0,13,0,0,15,18,0,15
endosymbiont of unidentified scaly snail isolate Monju,0,0,0,0,0,0,16,16,13,0,17,0,43,25,48,25,26,26,26,11,10
Ensifer canadensis,15,0,13,0,0,0,0,0,0,0,0,48,11,0,0,0,14,30,27,18,17
Fusobacterium animalis,63,0,0,0,0,67,105,69,39,30,65,160,56,48,39,101,93,177,187,102,100
Enterococcus faecalis,176,91,116,86,60,87,175,315,82,103,241,225,183,317,288,302,165,316,268,180,286
Streptantibioticus cattleyicolor,0,0,0,0,0,0,18,23,0,0,0,0,29,18,34,22,0,19,27,0,39
Colwellia psychrerythraea,35,13,16,0,12,0,0,0,0,0,0,46,0,0,0,0,18,18,12,20,10
Lysobacter luteus,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0,11,11,0,16
Actinomyces pacaensis,28,22,13,18,18,0,11,18,0,0,14,44,0,0,0,19,22,28,28,20,12
Paramagnetospirillum magneticum,17,0,0,17,0,0,17,42,30,0,0,0,30,28,37,43,40,51,44,33,28
Thioalkalivibrio sulfidiphilus,0,0,0,0,0,0,14,34,0,0,0,0,23,27,25,29,21,15,13,14,17
Rhodococcus gordoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0
Aeromonas rivipollensis,0,0,0,0,0,0,0,18,0,0,20,24,0,0,0,0,0,0,0,0,0
Ornithobacterium rhinotracheale,296,16,34,21,19,14,17,27,13,20,10,256,0,12,0,39,39,53,68,180,22
Parageobacillus caldoxylosilyticus,31,0,0,25,0,0,16,38,0,20,0,24,18,0,19,23,31,36,28,28,32
Deinococcus irradiatisoli,0,0,0,0,0,0,15,29,0,0,0,0,23,13,18,22,24,16,15,15,10
Ponticoccus alexandrii,39,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,20,0,0,11,25
Limihaloglobus sulfuriphilus,15,0,0,0,0,0,12,19,15,0,0,0,37,22,37,15,12,31,17,0,21
Parabacteroides merdae,4650,50531,19462,32881,32370,411,663,820,478,706,893,4214,1113,454,484,56371,66600,32761,89041,44478,1717
Citrobacter tructae,22,0,0,0,0,0,0,14,0,0,0,18,14,0,0,0,0,13,0,0,0
Occultella kanbiaonis,15,0,19,19,14,0,20,36,23,0,0,0,29,22,41,17,39,20,37,25,48
Acinetobacter bouvetii,17,10,31,0,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Thiothrix unzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,27,0
Pseudomonas sp. Ost2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Bacillus cytotoxicus,55,17,38,10,19,0,11,11,0,0,12,52,0,10,15,20,14,30,18,16,34
Corynebacterium uterequi,0,0,0,0,0,0,0,17,0,0,0,0,30,13,33,0,0,10,11,0,0
Nocardia arthritidis,10,0,0,0,0,0,13,16,0,0,0,0,23,20,16,0,20,23,25,21,33
Serratia grimesii,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Mogibacterium neglectum,29,29,36,14,20,21,51,49,30,22,32,41,49,55,61,89,62,108,110,51,48
uncultured Methanocorpusculum sp.,0,0,0,0,0,0,0,19,12,0,0,0,11,0,0,34,13,24,19,15,0
Arthrobacter sp. UKPF54-2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiothrix lacustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Streptococcus halotolerans,31,0,0,0,0,11,25,31,18,21,41,52,35,29,29,15,18,26,15,12,10
Rubripirellula lacrimiformis,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,10,18,29,10,21,0
Robiginitalea biformata,16,12,18,18,0,0,22,29,0,0,0,18,19,15,18,14,23,12,32,16,13
Haemophilus haemolyticus,0,0,0,0,0,0,0,18,14,0,0,666,0,0,15,11,18,34,69,0,0
Desulforamulus reducens,50,12,16,18,11,13,38,40,13,12,28,30,46,36,47,21,32,43,38,18,50
Lactobacillus delbrueckii,59,32,19,16,21,22,62,81,43,45,85,59,39,35,45,49,61,61,77,37,68
Rhizobium daejeonense,0,15,21,0,0,0,0,37,0,0,0,0,22,24,30,15,24,29,0,0,0
Actinobacillus equuli,25,19,18,18,15,0,13,43,0,0,0,71,0,0,82,33,31,24,30,40,12
Nocardia iowensis,0,0,0,0,0,0,0,21,0,13,0,0,20,18,24,14,16,16,18,15,0
Staphylococcus arlettae,17,14,44,19,28,11,13,0,0,0,0,32,0,0,12,19,26,41,35,22,20
Psychrobacter sp. P11F6,36,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Iamia majanohamensis,0,0,0,0,0,17,36,58,20,26,0,0,24,31,41,20,32,33,24,20,16
Helcobacillus massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Variovorax sp. PAMC28562,43,0,0,0,23,0,0,11,0,0,0,31,13,0,0,24,12,14,22,18,10
Proteiniphilum propionicum,261,16,34,50,25,57,91,59,52,62,61,286,66,17,10,67,76,65,122,135,26
Qipengyuania flava,0,0,0,0,0,0,35,44,0,0,0,0,16,29,36,27,50,38,47,40,15
Chitinophaga caeni,84,14,23,12,14,16,14,21,0,0,16,35,0,0,11,23,27,32,33,24,10
Roseimaritima multifibrata,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,14,0,13,0,0,0
Natronococcus sp. AD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,19
Cyanobium gracile,0,0,0,0,10,0,0,21,0,0,0,0,23,26,17,20,17,0,0,0,16
Pigmentiphaga sp. H8,18,0,0,0,0,0,0,25,15,11,0,45,19,13,27,15,36,47,33,20,12
Parageobacillus sp. KH3-4,0,0,0,0,0,0,19,36,0,15,29,27,22,15,19,43,27,39,32,23,30
Spirosoma rigui,51,14,10,11,0,12,19,17,0,0,23,45,14,12,13,12,32,31,24,21,19
Chlorobaculum tepidum,0,0,0,0,0,0,14,13,0,0,0,0,0,16,0,11,13,30,0,0,0
Hydrogenibacillus sp. N12,0,0,0,0,0,0,29,28,21,25,14,0,40,29,41,14,29,26,34,24,41
Pseudomonas corrugata,24,0,0,0,0,0,0,0,0,0,0,35,0,0,16,0,0,0,0,0,0
Sodalis ligni,10,14,12,0,0,0,13,30,12,0,15,10,17,16,32,20,28,23,38,18,34
Olleya sp. YS,29,0,25,0,13,0,0,0,0,0,0,33,0,0,0,0,0,10,0,11,0
Sphingobacterium sp. CZ-2,28,0,0,0,0,41,59,27,32,35,47,18,39,18,34,38,24,42,33,27,29
Bartonella sp. HY761,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisella tularensis,67,0,13,0,0,65,106,36,38,55,20,70,30,0,0,0,34,76,44,15,61
Tsuneonella flava,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,15,17,0
Enterobacter asburiae,108,0,72,44,88,53,37,99,50,0,82,58,99,78,47,86,51,48,49,54,83
Mycoplasma tauri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10
Psychroflexus sp. ALD_RP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,10,0
Herbaspirillum sp. WKF16,0,0,0,0,0,0,0,34,15,0,0,0,15,25,31,16,20,20,24,13,0
Halomicroarcula sp. XH51,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,20,0,0,0
Asticcacaulis sp. SL142,0,0,0,0,0,0,0,14,0,0,0,0,10,0,14,10,0,0,0,0,0
Rothia mucilaginosa,59,68,50,55,33,26,19,44,35,14,15,162,20,24,23,35,40,34,46,31,73
Sphingomonas sp. AP4-R1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Oceanithermus profundus,0,0,0,0,0,0,0,22,0,10,0,0,0,12,13,37,0,17,18,12,17
Stappia sp. ES.058,29,0,0,0,0,16,19,32,0,0,23,38,41,22,45,18,16,14,31,0,17
Aminipila terrae,110,61,122,44,53,47,95,110,34,43,57,109,96,99,175,117,80,185,119,81,134
Desulfovibrio mangrovi,74,0,0,0,0,12,20,40,0,0,0,62,47,32,48,29,30,52,43,22,33
Gordonia rubripertincta,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,35,72,66,49,55,28
Neisseria flavescens,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
