,sum,noZero,rowMeans
Proteiniphilum saccharofermentans,0.0582889615988763,21,0.0027756648380417286
Citrobacter koseri,0.0334920859812369,17,0.001970122704778641
Flavobacterium haoranii,0.0158269111747193,16,0.0009891819484199563
Faecalibacterium sp. I3-3-33,3.255687218096894,21,0.15503272467128065
Streptomyces sp. RPA4-2,0.0071722669532837,10,0.00071722669532837
Epilithonimonas zeae,0.013501113544172699,19,0.0007105849233775104
Amycolatopsis sp. HUAS 11-8,0.009213515934571499,14,0.0006581082810408213
Paenibacillus mucilaginosus,0.051548295302117395,21,0.002454680728672257
Selenobaculum gbiensis,0.024416181079491703,20,0.0012208090539745852
Halomonas sp. M4R1S46,0.0055914545349906005,9,0.0006212727261100667
Candidatus Nitrosocosmicus franklandus,0.005651422699898199,9,0.0006279358555442443
Deinococcus gobiensis,0.0051323995135162,9,0.0005702666126129112
Paludibaculum fermentans,0.0156941975998355,17,0.0009231880941079707
Bacteroides nordii,1.470582914257925,21,0.07002775782180595
Rhizobium leguminosarum,0.12833008849074728,21,0.00611095659479749
Bradyrhizobium sp. sBnM-33,0.0038417541967930005,7,0.0005488220281132858
Sphingobacterium psychroaquaticum,0.0045704670424467,10,0.00045704670424467
Kosakonia oryzae,0.0087440362066218,12,0.0007286696838851499
Corynebacterium striatum,0.0047256746809442,7,0.0006750963829920286
Sphingomonas limnosediminicola,0.0027024305413696,5,0.0005404861082739201
Metabacillus litoralis,0.0150468521338926,13,0.0011574501641455847
Paenisporosarcina cavernae,0.0022867530543065,5,0.00045735061086130005
Alistipes communis,5.061665867408127,21,0.24103170797181558
Geotalea uraniireducens,0.02516714573869,21,0.0011984355113661906
Flammeovirga pectinis,0.0214356725014739,17,0.001260921911851406
Vibrio vulnificus,0.0172171161662875,19,0.0009061640087519736
Geobacillus proteiniphilus,0.017651930501561497,8,0.002206491312695187
Nocardia mangyaensis,0.0200639657131886,16,0.0012539978570742876
Clostridium sp. M62/1,2.142226100744196,21,0.10201076670210457
Salicibibacter halophilus,0.0028110879940004,7,0.0004015839991429143
Halomonas beimenensis,0.0053913666051446,8,0.000673920825643075
Antarcticibacterium arcticum,0.005062599087418,8,0.00063282488592725
Saccharophagus degradans,0.0054846893766643,11,0.0004986081251513
Dickeya solani,0.017391012955142404,17,0.0010230007620672002
Spiroplasma melliferum,0.0072317469639278,5,0.0014463493927855601
Periweissella cryptocerci,0.0034407300936943005,6,0.0005734550156157168
Chlorobaculum sp. MV4-Y,0.0050704433538623995,8,0.0006338054192327999
Anaerococcus mediterraneensis,0.010793854440521503,16,0.000674615902532594
Cnuibacter physcomitrellae,0.0025825617987551997,5,0.0005165123597510399
Bacteroides caccae,33.01584812596401,21,1.5721832440935244
Trueperella pecoris,0.0078274741801107,8,0.0009784342725138375
Sphingomonas sp. NBWT7,0.0029625638271540003,5,0.0005925127654308
Pontibacter actiniarum,0.015926713941199,19,0.0008382481021683684
Solidesulfovibrio carbinoliphilus,0.008111478645671901,12,0.0006759565538059918
Klebsiella michiganensis,0.0392328791954115,19,0.0020648883787058683
Legionella hackeliae,0.0098458787389928,15,0.0006563919159328533
Chryseobacterium glaciei,0.006688125385992601,7,0.0009554464837132287
Chryseobacterium sp. SNU WT5,0.0033260765551096,8,0.0004157595693887
Companilactobacillus ginsenosidimutans,0.010236256027664599,16,0.0006397660017290374
Leucobacter allii,0.010522644309721298,15,0.0007015096206480865
Thermoflavifilum sp.,0.010733418418533,18,0.0005963010232518333
Dolosigranulum pigrum,0.021996331666656398,20,0.00109981658333282
Thermogutta terrifontis,0.005897759432629201,9,0.0006553066036254668
Acinetobacter bereziniae,0.004158229555929101,7,0.0005940327937041573
Kosakonia radicincitans,0.0155099477218938,15,0.00103399651479292
Ramlibacter tataouinensis,0.019991899782125403,19,0.0010522052516908106
Nocardioides sp. HDW12B,0.007451615099690801,11,0.0006774195545173455
Nocardioides sp. S-34,0.0021781641351658,5,0.00043563282703316
Maioricimonas rarisocia,0.0046524502126048,11,0.0004229500193277091
Synechococcus sp. JA-3-3Ab,0.004870934615066,8,0.00060886682688325
Hahella sp. HNIBRBA332,0.012168408179296103,18,0.0006760226766275612
Halobacillus halophilus,0.015486516076400501,20,0.000774325803820025
[Clostridium] colinum,0.0542071725493934,21,0.002581293930923495
Chryseobacterium indologenes,0.06218701485886291,21,0.002961286421850615
Blautia parvula,0.8471006924130595,21,0.04033812821014569
Geobacillus subterraneus,0.03997863069562461,21,0.001903744318839267
Thermacetogenium phaeum,0.0117657192804513,13,0.0009050553292654847
Stenotrophomonas sp. A5588,0.011627529015381501,14,0.0008305377868129644
Tichowtungia aerotolerans,0.006683365191338501,12,0.0005569470992782084
Pseudomonas mucidolens,0.0022529612335781,5,0.00045059224671562
Arcanobacterium pinnipediorum,0.0042168240014316,6,0.0007028040002386
Tsuneonella dongtanensis,0.0020447992256105003,5,0.00040895984512210004
Marinitoga aeolica,0.0282798299416372,19,0.0014884121021914317
Ureibacillus thermosphaericus,0.015224195542136401,12,0.0012686829618447002
Lysinibacillus fusiformis,0.028282918202153902,17,0.0016637010707149355
Alteromonas pelagimontana,0.0035197366348572,7,0.0005028195192653143
Meiothermus ruber,0.0055994279289491005,9,0.0006221586587721223
Quatrionicoccus australiensis,0.0045036309563273,8,0.0005629538695409125
Zunongwangia profunda,0.020420121397493496,18,0.0011344511887496386
Candidatus Desulfofervidus auxilii,0.0082651339538365,9,0.0009183482170929445
Sulfurisphaera ohwakuensis,0.0054563085210746,6,0.0009093847535124334
Nocardiopsis alba,0.0060232870989403,7,0.0008604695855629
Anaerobacillus isosaccharinicus,0.0187335495317272,19,0.0009859762911435367
Francisella frigiditurris,0.0044168564233501,7,0.0006309794890500143
Echinicola rosea,0.020196790724093992,19,0.0010629889854786312
Serratia marcescens,0.0817965187018142,20,0.00408982593509071
Pseudomonas chlororaphis,0.07370688805502949,19,0.003879309897633131
Flavobacterium sp. 20NA77.7,0.0100302467184671,12,0.0008358538932055916
Paenibacillus lentus,0.020194418962168396,20,0.0010097209481084199
Tetragenococcus koreensis,0.012040269721141098,18,0.0006689038733967277
Mycolicibacterium brumae,0.0073302029988057,10,0.00073302029988057
Hymenobacter busanensis,0.014620883854764097,19,0.000769520202882321
Candidatus Methylopumilus planktonicus,0.0037485894160260006,9,0.0004165099351140001
Xenorhabdus doucetiae,0.0031781307273011004,6,0.0005296884545501834
Phascolarctobacterium faecium,4.493478861537179,21,0.2139751838827228
Thermomonospora amylolytica,0.013429413491739001,12,0.0011191177909782501
Caloranaerobacter azorensis,0.0206726125729288,19,0.0010880322406804633
Nostoc piscinale,0.007789598675111599,12,0.0006491332229259665
Malaciobacter marinus,0.013160973521786102,13,0.001012382578598931
Segatella copri,3.9361066675529726,21,0.18743365083585584
Anaeromyxobacter sp. Fw109-5,0.011336052302430899,16,0.0007085032689019312
Paenibacillus larvae,0.018574785439538603,19,0.0009776202862915055
Allocoprobacillus halotolerans,0.21860149007527402,21,0.01040959476548924
Kutzneria chonburiensis,0.0153295451890867,15,0.0010219696792724466
Thauera humireducens,0.006305899791998899,8,0.0007882374739998624
Nocardioides humi,0.008812037145889998,11,0.0008010942859899998
Actinoplanes sichuanensis,0.014920314323799502,20,0.0007460157161899751
Xenorhabdus sp. SF857,0.0026403262563589,6,0.00044005437605981664
Paraburkholderia sp. FT54,0.005292800606498301,7,0.0007561143723569001
Deinococcus radiodurans,0.0060961096364188,7,0.0008708728052026857
Mycobacterium conspicuum,0.0091085854181953,12,0.0007590487848496084
Casimicrobium huifangae,0.0071859995923939,11,0.0006532726902176273
Pseudothauera hydrothermalis,0.0027447478677687003,6,0.00045745797796145003
Nocardioides seonyuensis,0.0027941037228278,6,0.0004656839538046333
Enterobacter ludwigii,0.0240385742349609,15,0.00160257161566406
Dehalococcoides mccartyi,0.0347573233263889,19,0.0018293328066520474
Nonlabens sp. Hel1_33_55,0.0046750319736925,9,0.0005194479970769445
Algoriphagus sp. NG3,0.0158967643572984,17,0.0009351037857234353
Tepidiforma bonchosmolovskayae,0.0065008177232367004,12,0.000541734810269725
Collinsella stercoris,0.1422770094510308,21,0.006775095688144324
Mycoplasma anserisalpingitidis,0.010916283812942401,10,0.0010916283812942402
Macrococcus bovicus,0.008760026918079599,14,0.0006257162084342571
Koleobacter methoxysyntrophicus,0.0157069202409837,18,0.00087260668005465
Ancylobacter sp. TS-1,0.0059143598305324,8,0.00073929497881655
Aeromonas allosaccharophila,0.0042585764979648,5,0.0008517152995929599
Rathayibacter sp. VKM Ac-2804,0.0076347622238657,6,0.0012724603706442833
Microbulbifer agarilyticus,0.0033571503131422,6,0.0005595250521903667
Micromonospora coriariae,0.010153448803193403,14,0.0007252463430852431
Christiangramia flava,0.008051409660325798,13,0.000619339204640446
Mycobacterium adipatum,0.0046811787772353996,7,0.0006687398253193428
Cyclobacterium amurskyense,0.010794160353152797,13,0.0008303200271655998
Bacillus glycinifermentans,0.025980052832492204,21,0.0012371453729758193
Planococcus lenghuensis,0.009584540330159898,18,0.000532474462786661
Gemella sanguinis,0.014334824526431799,18,0.0007963791403573222
Sphingomonas qomolangmaensis,0.0044803278433095,5,0.0008960655686618999
Neokomagataea tanensis,0.0036865065293555997,8,0.00046081331616944996
Archangium violaceum,0.037325236999739594,21,0.0017773922380828378
Phaeobacter gallaeciensis,0.0102359958550991,12,0.0008529996545915917
Mesorhizobium sp. 8,0.012205294016684002,16,0.0007628308760427501
Amniculibacterium sp. G2-70,0.0102325746063699,14,0.0007308981861692786
Chryseobacterium sp. Y16C,0.018139151496301104,16,0.001133696968518819
Thermoanaerobacterium sp. RBIITD,0.0365761574211826,20,0.00182880787105913
Desulfitobacterium metallireducens,0.016543600773066398,21,0.0007877905130031618
Sphingomonas nostoxanthinifaciens,0.0049591313657830005,10,0.0004959131365783001
Pseudanabaena galeata,0.005359919940199,10,0.0005359919940199
Halomonas aestuarii,0.006059939628466999,8,0.0007574924535583749
Sphingobacterium daejeonense,0.012543294950498399,15,0.00083621966336656
Actimicrobium sp. CCC2.4,0.0046867864334268995,7,0.0006695409190609857
Dactylosporangium aurantiacum,0.0167774425958166,19,0.0008830232945166633
Aquimarina sp. BL5,0.0098827633126399,8,0.0012353454140799874
Chryseobacterium aureum,0.016586759117969897,21,0.0007898456722842808
Leclercia adecarboxylata,0.018315176766577398,16,0.0011446985479110874
Streptomyces chromofuscus,0.0050647717814866,7,0.0007235388259266572
Erysipelothrix sp. HDW6C,0.0041629570094929,6,0.0006938261682488166
Porphyrobacter sp. CACIAM 03H1,0.0037221354624573,6,0.00062035591040955
Neobacillus sp. PS3-40,0.026870031632508295,21,0.0012795253158337284
Roseovarius pelagicus,0.006474083760552501,10,0.00064740837605525
Mesobacillus sp. S13,0.014126601013446802,19,0.0007435053164972001
Thermocaproicibacter melissae,0.1253347372928488,21,0.005968320823468991
Bradyrhizobium sp. CCBAU 51753,0.0057783283566568994,9,0.0006420364840729889
Spiroplasma culicicola,0.005542679009468101,8,0.0006928348761835126
Acidovorax sp. HDW3,0.004319310555616099,8,0.0005399138194520124
Leptolyngbya sp. O-77,0.0073180145071094,8,0.000914751813388675
Polynucleobacter asymbioticus,0.0043621319723296005,8,0.0005452664965412001
Ornithinimicrobium sp. HY1793,0.0106074534170473,15,0.0007071635611364867
Leuconostoc citreum,0.0074709038004454,7,0.0010672719714922001
Fervidobacterium pennivorans,0.0145807341623078,18,0.0008100407867948778
Paenibacillus jilunlii,0.026794071688180102,18,0.0014885595382322279
Erysipelothrix piscisicarius,0.010005090253020002,16,0.0006253181408137501
Halomonas sp. 1513,0.0023865886478163,5,0.00047731772956326
Fictibacillus sp. KU28468,0.0245912980763476,21,0.0011710141941117904
Helicobacter cinaedi,0.011478164164271502,18,0.0006376757869039723
Shewanella sp. NFH-SH190041,0.0040037727102681005,9,0.0004448636344742334
Spiroplasma monobiae,0.0048896489295859,7,0.0006985212756551286
Deinococcus sp. NW-56,0.0037035153540486004,8,0.00046293941925607505
Flavobacterium sp. ZE23DGlu08,0.011024660784604302,13,0.0008480508295849464
Cytobacillus kochii,0.012009430556363799,15,0.0008006287037575866
Pseudomonas synxantha,0.007146447270265699,11,0.000649677024569609
Methylobacterium sp. AMS5,0.0092608920292589,13,0.0007123763099429923
Hyphomicrobium sp. MC1,0.0063105723842776,13,0.00048542864494443075
Faecalibacterium sp. I4-3-84,5.858844691500849,21,0.27899260435718326
Afipia carboxidovorans,0.004733001526784299,11,0.0004302728660712999
Mucilaginibacter sp. KACC 22773,0.005780072871613,9,0.0006422303190681112
Pseudoalteromonas carrageenovora,0.004715221810333499,7,0.0006736031157619285
Pseudomonas sp. 273,0.0108868868295017,10,0.00108868868295017
Thiolapillus brandeum,0.0078494695651907,13,0.0006038053511685153
Nordella sp. HKS 07,0.007724049375850001,15,0.0005149366250566667
Tropicibacter oceani,0.0052600817052183,8,0.0006575102131522875
Providencia sneebia,0.0068679676773675995,7,0.0009811382396239428
Qiania dongpingensis,0.5175683748713675,21,0.02464611308911274
Streptomyces griseus,0.0065263252221566,8,0.000815790652769575
Streptomyces sp. WAC 01529,0.006239778866754199,8,0.0007799723583442749
Streptomyces phaeolivaceus,0.008311559049817101,9,0.000923506561090789
Thermoanaerobacterium sp. CMT5567-10,0.0207227313923706,17,0.0012189841995512117
Sulfuriferula plumbiphila,0.0027772547932558,6,0.00046287579887596664
Clostridium carboxidivorans,0.0350545724640117,20,0.0017527286232005852
Pseudomonas orientalis,0.0105958845150898,14,0.0007568488939349858
Tenacibaculum jejuense,0.0080305789004275,8,0.0010038223625534375
Corynebacterium breve,0.0027805908284718,5,0.00055611816569436
Enterobacter hormaechei,0.12427998266706232,17,0.007310587215709548
Desulfitobacterium hafniense,0.0542307126464429,21,0.0025824148879258525
Parabacteroides faecis,0.8382117448237543,21,0.03991484499160734
Synechococcus sp. PCC 6312,0.0043752517047607,8,0.0005469064630950874
Hydrogenophaga sp. SL48,0.0036366527834901003,6,0.0006061087972483501
Streptococcus sp. 116-D4,0.011791464820565001,15,0.0007860976547043334
Gemella morbillorum,0.0204172455583508,21,0.0009722497884928952
Flavobacterium sp. 140616W15,0.009417035552166,14,0.0006726453965832857
Kyrpidia tusciae,0.0052476177125779,6,0.0008746029520963166
Vibrio fluvialis,0.027575452927520203,18,0.0015319696070844558
uncultured Erythrobacter sp.,0.0030294743124208,5,0.00060589486248416
Pantoea eucrina,0.0016661488206005002,5,0.00033322976412010003
Methanoculleus chikugoensis,0.0031567188062504,5,0.00063134376125008
Prevotella scopos,0.0769778379637422,12,0.00641481983031185
Paraburkholderia edwinii,0.003664781601974999,8,0.0004580977002468749
Pseudomonas phytophila,0.004160115710084501,9,0.00046223507889827785
Faecalibacterium sp. IP-1-18,3.6884937185230218,21,0.1756425580249058
Mucilaginibacter sp. SMC90,0.004074971153332299,9,0.0004527745725924777
Pedobacter sp. D749,0.008032918830751301,16,0.0005020574269219563
Pediococcus acidilactici,0.0166515786965026,9,0.001850175410722511
Streptomyces marincola,0.008429511376169001,14,0.0006021079554406429
Salinimonas sediminis,0.0019412503998721001,5,0.00038825007997442
Spiroplasma syrphidicola,0.006932196088876799,10,0.0006932196088876799
Luteolibacter luteus,0.0053698989460499,10,0.00053698989460499
Clavibacter michiganensis,0.0181567117642168,10,0.00181567117642168
Bradyrhizobium commune,0.0060338615971225005,7,0.0008619802281603572
Pseudemcibacter aquimaris,0.0074051739129618,11,0.0006731976284510727
Luteitalea pratensis,0.0047267421912641,8,0.0005908427739080125
Desulfolutivibrio sulfoxidireducens,0.0116287011871278,14,0.0008306215133662714
Cohnella herbarum,0.0152442035217335,18,0.0008469001956518611
Micromonospora viridifaciens,0.009244207955719001,11,0.0008403825414290001
Bifidobacterium lemurum,0.011239110447625501,14,0.0008027936034018215
Syntrophus aciditrophicus,0.004206017669218199,9,0.00046733529657979993
Yimella sp. cx-51,0.0028902976497846996,7,0.0004128996642549571
Capnocytophaga sp. oral taxon 878,0.018640555999289304,16,0.0011650347499555815
Mammaliicoccus vitulinus,0.0116355805535774,16,0.0007272237845985875
Paraburkholderia kirstenboschensis,0.0023298756128399,6,0.0003883126021399833
Cupriavidus taiwanensis,0.055579238978018704,21,0.0026466304275247
Salinimicrobium tongyeongense,0.0094423919925183,15,0.0006294927995012199
Uruburuella suis,0.0066947589337222,10,0.00066947589337222
Methylomonas sp. LL1,0.010626832409094199,12,0.0008855693674245166
Paenibacillus odorifer,0.0356167287221006,21,0.0016960347010524096
Pseudoxanthomonas spadix,0.004561302117070701,7,0.0006516145881529572
Arachidicoccus sp. B3-10,0.0067733456940319995,8,0.0008466682117539999
Amycolatopsis mediterranei,0.0024912436145467,5,0.00049824872290934
uncultured Macellibacteroides sp.,0.04959312318877761,18,0.002755173510487645
Pseudomonas eucalypticola,0.0018486496234809999,5,0.0003697299246962
Pectinatus frisingensis,0.024362703169541793,21,0.001160128722359133
Runella slithyformis,0.013574612976483102,16,0.0008484133110301939
Saccharothrix syringae,0.014444007563326998,16,0.0009027504727079374
Roseibium sp. Sym1,0.0130559487719486,15,0.0008703965847965733
Shewanella psychropiezotolerans,0.0025059254847403,5,0.00050118509694806
Campylobacter insulaenigrae,0.004097727711941401,8,0.0005122159639926751
Streptomyces sp. HUAS 14-6,0.0048950740334663,7,0.0006992962904951857
Flaviflexus equikiangi,0.0042069697640588,10,0.00042069697640588
Vibrio alginolyticus,0.03623086383836,14,0.002587918845597143
Deinococcus puniceus,0.0027076612226046,5,0.0005415322445209201
Thalassotalea sp. LPB0316,0.0036918466049302005,6,0.0006153077674883667
Arcobacter nitrofigilis,0.011193354044612799,16,0.0006995846277882999
Pigmentiphaga aceris,0.0077292902986548,13,0.0005945607922042154
Arthrobacter sp. PGP41,0.006281456733685699,5,0.00125629134673714
Companilactobacillus allii,0.007559408051370399,15,0.0005039605367580266
Candidatus Atelocyanobacterium thalassa,0.0064934622155341,13,0.0004994970935026231
Paracoccus alcaliphilus,0.009237353784027801,12,0.0007697794820023168
Biomaibacter acetigenes,0.0198830680234862,20,0.00099415340117431
Allomuricauda lutaonensis,0.0048252134774261005,10,0.00048252134774261007
Selenomonas sp. oral taxon 136,0.027769269026179197,14,0.0019835192161556567
Corynebacterium atrinae,0.0049729330961135,6,0.0008288221826855832
Halomonas profundi,0.0038629582749501006,8,0.00048286978436876257
Pikeienuella piscinae,0.0049204078080014,8,0.000615050976000175
Burkholderia ambifaria,0.0146733085085607,11,0.0013339371371418817
Corynebacterium heidelbergense,0.0036947399396541998,7,0.0005278199913791714
Acinetobacter shaoyimingii,0.0043240965071433,8,0.0005405120633929125
Caldimonas brevitalea,0.0065889468517109,9,0.0007321052057456556
Thermobispora bispora,0.0024586298188173,7,0.0003512328312596143
Vibrio natriegens,0.0106650239371904,12,0.0008887519947658667
Usitatibacter palustris,0.0035808838107071,6,0.0005968139684511834
Burkholderia pseudomultivorans,0.005017045510825,5,0.001003409102165
Companilactobacillus paralimentarius,0.0087372361852432,15,0.0005824824123495467
Paenibacillus agaridevorans,0.0426826380754912,20,0.00213413190377456
Edaphobacter flagellatus,0.0035396315194901997,7,0.0005056616456414571
Polaribacter undariae,0.0124530268116639,6,0.00207550446861065
Methylomarinovum sp. IN45,0.005087890975854501,9,0.000565321219539389
Micromonospora sp. NBRC 110009,0.012780340830856801,13,0.0009831031408351386
Azospirillum sp. TSA2s,0.010981414707441298,13,0.0008447242082647153
Lacinutrix neustonica,0.0078264328772313,12,0.000652202739769275
Kosakonia pseudosacchari,0.0029178416148429,5,0.0005835683229685801
Paenibacillus psychroresistens,0.021351861073933498,21,0.0010167552892349284
Pacificitalea manganoxidans,0.004521429945146001,9,0.0005023811050162224
Bradyrhizobium sp. Ash2021,0.0097365935249955,10,0.00097365935249955
Comamonas terrigena,0.0031625637140447996,7,0.00045179481629211424
Silicimonas algicola,0.0041921317928255,8,0.0005240164741031875
Dyadobacter fanqingshengii,0.010782893851709902,15,0.0007188595901139934
Salinibacter ruber,0.0170867378418645,20,0.000854336892093225
Staphylococcus pettenkoferi,0.0119803871100363,16,0.0007487741943772687
Streptomyces sp. AM2-3-1,0.0026175810348559,5,0.00052351620697118
Crateriforma conspicua,0.0091011452436136,12,0.0007584287703011333
Agrococcus sp. SL85,0.0028866898639002,5,0.00057733797278004
Streptomyces sp. Rer75,0.0115304760751294,10,0.00115304760751294
Achromobacter denitrificans,0.011517238220646799,16,0.0007198273887904249
Clostridium beijerinckii,0.14260471681856052,21,0.006790700800883834
Paenibacillus beijingensis,0.023075321210969196,20,0.0011537660605484598
Sphingosinicella microcystinivorans,0.021193517733579997,16,0.0013245948583487498
Parasphaerochaeta coccoides,0.0117716287177733,19,0.0006195594061985947
Edaphobacter sp. 12200R-103,0.0022284429469465,6,0.0003714071578244167
Candidatus Puniceispirillum marinum,0.0033240043688008997,6,0.0005540007281334833
Turicibacter sanguinis,0.0402920321897639,21,0.0019186681995125665
Nodosilinea sp. E11,0.0019402398845385,5,0.0003880479769077
Pseudoroseomonas cervicalis,0.0118771359528887,15,0.0007918090635259134
Maribacter sp. MJ134,0.0037532665894085,7,0.0005361809413440714
Pedobacter sp. KBS0701,0.007757298239051099,14,0.0005540927313607928
Blautia sp. KLE_1732_HM_1032,22.80226895443713,17,1.3413099384963019
Listeria innocua,0.0202469635273364,21,0.0009641411203493524
Claveliimonas bilis,0.9258672385381954,21,0.04408891612086645
Phreatobacter aquaticus,0.0065861802789093996,11,0.0005987436617190363
Streptomyces hundungensis,0.0122445121973297,17,0.0007202654233723353
Amycolatopsis aidingensis,0.0059527532635452,12,0.0004960627719621001
Paracoccus aminophilus,0.0049093166589,9,0.0005454796287666666
Streptomyces griseofuscus,0.0070912103066037,6,0.00118186838443395
Oxalobacter formigenes,0.0153224808061361,8,0.0019153101007670125
Aeromonas caviae,0.0375643075963622,15,0.0025042871730908134
Microbacterium sp. JZ31,0.0021099832876055004,5,0.00042199665752110007
Metamycoplasma hominis,0.0081277246513739,15,0.0005418483100915934
Pseudomonas hydrolytica,0.0088060707449338,9,0.0009784523049926443
Paraburkholderia sp. D15,0.0057561771594975,10,0.00057561771594975
Pseudoalteromonas espejiana,0.0087468623183141,10,0.00087468623183141
Hypericibacter adhaerens,0.006391945806571099,10,0.0006391945806571099
Winogradskyella sediminis,0.0030397675444253,6,0.0005066279240708833
Pedobacter roseus,0.019248523228303196,21,0.0009165963442049141
Methanobrevibacter arboriphilus,0.0188736351416844,17,0.0011102138318637882
Stenotrophomonas sp. A5586,0.0036159512324043,8,0.0004519939040505375
Streptomyces venezuelae,0.06566258301924319,21,0.003126789667583009
Thiomonas sp. X19,0.009382997641895598,10,0.0009382997641895598
Nitratireductor rhodophyticola,0.0030379429899064,6,0.0005063238316510666
Arcanobacterium phocae,0.0110418789630796,14,0.0007887056402199714
Cupriavidus metallidurans,0.0209625863923293,15,0.00139750575948862
Vibrio owensii,0.017617515747442702,13,0.001355193519034054
Ralstonia insidiosa,0.010252972187855501,10,0.00102529721878555
Bacteroides finegoldii,3.987695243716966,21,0.18989024970080792
Selenomonas sp. oral taxon 920,0.024316424169590296,21,0.0011579249604566808
Mycobacterium sp. Z3061,0.006199163301466501,10,0.0006199163301466501
Pseudolabrys sp. FHR47,0.008161316847619102,14,0.0005829512034013644
Nostoc sp. PCC 7107,0.006409607036590399,8,0.0008012008795737998
Rhodoferax koreense,0.0107758723259438,12,0.0008979893604953167
Picosynechococcus sp. PCC 73109,0.0031799298125506003,5,0.00063598596251012
Geothrix sp.,0.007084128996383199,13,0.0005449329997217846
Tuwongella immobilis,0.0042894218727441,11,0.00038994744297673637
Kutzneria sp. CA-103260,0.0149425708890594,17,0.0008789747581799647
Leisingera caerulea,0.013090153160936303,16,0.0008181345725585189
Caloramator sp. Dgby_cultured_2,0.0370042152410475,21,0.0017621054876689286
Bacillus smithii,0.0126925780234527,14,0.0009066127159609071
Rhodococcus koreensis,0.0030478135339583,5,0.0006095627067916599
Candidatus Pelagibacter sp. FZCC0015,0.0045777872132142005,7,0.0006539696018877429
Chryseobacterium gambrini,0.012604263941882996,16,0.0007877664963676873
Agrobacterium rubi,0.0042941236622884,7,0.0006134462374697714
Arcanobacterium haemolyticum,0.005466188926273899,10,0.0005466188926273899
Azotobacter vinelandii,0.0075631319023923,13,0.0005817793771070999
Aerococcus viridans,0.0063399375392512,7,0.0009057053627501714
Pleurocapsa sp. FMAR1,0.0088876686868026,13,0.0006836668220617385
Alienimonas californiensis,0.011397418504060702,15,0.0007598279002707135
Orpheovirus IHUMI-LCC2,0.0022354320875132,6,0.00037257201458553335
Xanthomonas vesicatoria,0.0043754185478646,5,0.00087508370957292
Faecalibacterium sp. I4-1-79,3.858724739993774,21,0.18374879714256065
Leifsonia shinshuensis,0.005201675272044201,8,0.0006502094090055251
Aeromicrobium choanae,0.0054640092836186005,9,0.0006071121426242889
Moorella sp. Hama-1,0.023833901928560396,21,0.0011349477108838284
Ligilactobacillus faecis,0.0088684199136785,15,0.0005912279942452333
Lautropia mirabilis,0.005768187433314101,10,0.0005768187433314101
Malaciobacter pacificus,0.013454784202400899,14,0.0009610560144572071
Gymnodinialimonas ceratoperidinii,0.0031498655402177997,7,0.00044998079145968566
Glaciecola nitratireducens,0.008584119680268199,9,0.0009537910755853554
Bulleidia sp. zg-1006,0.025152001301902597,21,0.0011977143477096474
Massilia sp. NP310,0.0040093278953888,6,0.0006682213158981333
Mesoplasma syrphidae,0.0033861458224000995,6,0.0005643576370666833
Streptomyces sp. QHH-9511,0.009417148721365199,10,0.0009417148721365199
Cellulomonas sp. JZ18,0.0030188303789438,5,0.00060376607578876
Tetragenococcus osmophilus,0.0037873229722117,5,0.00075746459444234
Polaribacter sp. MED152,0.0084678085023023,9,0.0009408676113669223
Cylindrospermum stagnale,0.004785069637065599,8,0.0005981337046331999
Flavobacterium sp. TR2,0.006764632740094201,9,0.0007516258600104667
Clostridium cellulovorans,0.056778642839289295,21,0.002703744897109014
Lysinibacillus sp. PLM2,0.0087858978543106,13,0.0006758382964854308
Sedimentibacter sp. zth1,0.030471046388169304,21,0.001451002208960443
Tenuifilum thalassicum,0.011223768391388802,18,0.000623542688410489
Rhodopseudomonas sp. BAL398,0.009195320575903899,12,0.0007662767146586583
Agrobacterium vitis,0.019103066230244,16,0.00119394163939025
Caproicibacterium amylolyticum,0.168543551986514,21,0.008025883427929238
Pontibacillus sp. HMF3514,0.015089761356816401,21,0.0007185600646103048
Fuerstiella marisgermanici,0.0096940752050634,17,0.0005702397179449059
Aquella oligotrophica,0.0032351889552068,7,0.00046216985074382853
Hippea maritima,0.0046553240438336994,8,0.0005819155054792124
Rhizorhabdus dicambivorans,0.0121074118479535,9,0.0013452679831059443
Methylorubrum populi,0.013745631999824199,13,0.0010573563076787845
Lactobacillus kefiranofaciens,0.012067620860400897,15,0.0008045080573600598
Lutibacter sp. A64,0.0078672548684399,10,0.0007867254868439901
Halocatena salina,0.0059524561070667,10,0.00059524561070667
Geobacillus genomosp. 3,0.0056702665429179,8,0.0007087833178647375
Terrisporobacter petrolearius,0.0376640898333689,17,0.0022155346960805234
Phycicoccus endophyticus,0.005070175151998,10,0.0005070175151997999
Ruania zhangjianzhongii,0.0076035585873298,12,0.0006336298822774833
Enterococcus gilvus,0.010521966897633602,18,0.0005845537165352001
Helicobacter bilis,0.0030528727336379,7,0.0004361246762339857
Pseudomonas extremaustralis,0.0024625883760095,5,0.0004925176752019
Shewanella sp. OMA3-2,0.0029756837134859004,5,0.00059513674269718
Prevotella sp. oral taxon 299,0.07987952229169142,16,0.0049924701432307135
Pediococcus damnosus,0.0048741678438345,7,0.0006963096919763572
Diaphorobacter sp. HDW4A,0.0095724287913562,12,0.0007977023992796834
Anaerocolumna sp. MB42-C2,0.214346107219116,21,0.010206957486624571
